Fortune  Rank (2018),Company Name,Ticker Symbol,Fortune Rank (2017),Revenues,Revenues change,Profits,Profit Change,Assets,Market Value,Employee Count,CEO Name,CEO Title,Sector,Industry,HQ Location,Website URL,Years on Fortune List,Fortune URL
262,Alcoa,AA,300,"$11,652",25.0%,$217.0,,"$17,447","$8,372","14,600",Roy C. Harvey,"President, Chief Executive Officer & Director",Materials,Metals,Pittsburgh,http://www.alcoa.com,2,http://fortune.com/fortune500/alcoa/
263,Discover Financial Services,DFS,277,"$11,545",10.0%,"$2,099.0",-12.3%,"$100,087","$25,431","16,500",David W. Nelms,Chairman & Chief Executive Officer,Financials,Commercial Banks,"Riverwoods, Ill.",http://www.discover.com,10,http://fortune.com/fortune500/discover-financial-services/
264,Praxair,PX,275,"$11,437",8.6%,"$1,247.0",-16.9%,"$20,436","$41,434","26,461",Stephen F. Angel,Chairman & Chief Executive Officer,Chemicals,Chemicals,"Danbury, Conn.",http://www.praxair.com,24,http://fortune.com/fortune500/praxair/
265,CSX,CSX,257,"$11,408",3.1%,"$5,471.0",219.2%,"$35,739","$49,428","24,006",James M. Foote,"President, Chief Executive Officer & Director",Transportation,Railroads,"Jacksonville, Fla.",http://www.csx.com,24,http://fortune.com/fortune500/csx/
266,Xcel Energy,XEL,256,"$11,404",2.7%,"$1,148.0",2.2%,"$43,030","$23,107","11,105",Benjamin G.S. Fowke III,"Chairman, President & Chief Executive Officer",Energy,Utilities: Gas and Electric,Minneapolis,http://www.xcelenergy.com,22,http://fortune.com/fortune500/xcel-energy/
267,Unum Group,UNM,258,"$11,287",2.2%,$994.2,6.7%,"$64,013","$10,530","9,400",Richard P. McKenney,"President, Chief Executive Officer & Director",Financials,"Insurance: Life, Health (stock)","Chattanooga, Tenn.",http://www.unum.com,23,http://fortune.com/fortune500/unum-group/
268,Universal Health Services,UHS,276,"$11,279",7.3%,$752.3,7.1%,"$10,762","$11,163","72,300",Alan B. Miller,Chairman & Chief Executive Officer,Health Care,Health Care: Medical Facilities,"King of Prussia, Pa.",http://www.uhsinc.com,15,http://fortune.com/fortune500/universal-health-services/
269,NRG Energy,NRG,229,"$11,275",-8.7%,"$-2,153.0",,"$23,318","$9,698","5,940",Mauricio Gutierrez,"President, Chief Executive Officer & Director",Energy,Energy,"Princeton, N.J.",http://www.nrg.com,12,http://fortune.com/fortune500/nrg-energy/
270,EOG Resources,EOG,356,"$11,208",46.5%,"$2,582.6",,"$29,833","$60,913","2,664",William R. Thomas,Chairman & Chief Executive Officer,Energy,"Mining, Crude-Oil Production",Houston,http://www.eogresources.com,10,http://fortune.com/fortune500/eog-resources/
271,Sempra Energy,SRE,280,"$11,207",10.1%,$256.0,-81.3%,"$50,454","$29,351","16,046",J. Walker Martin,Chairman & Chief Executive Officer,Energy,Utilities: Gas and Electric,San Diego,http://www.sempra.com,20,http://fortune.com/fortune500/sempra-energy/
272,Toys “R” Us,,244,"$11,146",-3.4%,$-612.0,,"$7,262",,"65,000",David A. Brandon,Chairman & Chief Executive Officer,Retailing,Specialty Retailers: Other,"Wayne, N.J.",http://www.toysrusinc.com,24,http://fortune.com/fortune500/toys-r-us/
273,Group  Automotive,GPI,261,"$11,124",2.2%,$213.4,45.1%,"$4,871","$1,366","14,108",Earl J. Hesterberg,"President, Chief Executive Officer & Director",Retailing,"Automotive Retailing, Services",Houston,http://www.group1auto.com,18,http://fortune.com/fortune500/group-1-automotive/
274,Entergy,ETR,263,"$11,075",2.1%,$411.6,,"$46,707","$14,298","13,504",Leo P. Denault,Chairman & Chief Executive Officer,Energy,Utilities: Gas and Electric,New Orleans,http://www.entergy.com,24,http://fortune.com/fortune500/entergy/
275,Molson Coors Brewing,TAP,522,"$11,003",125.2%,"$1,414.2",-28.4%,"$30,247","$16,238","17,200",Mark R. Hunter,"President, Chief Executive Officer & Director","Food, Beverages & Tobacco",Beverages,Denver,http://www.molsoncoors.com,8,http://fortune.com/fortune500/molson-coors-brewing/
276,L Technologies,LLL,273,"$11,002",3.8%,$677.0,-4.6%,"$12,729","$16,283","38,000",Christopher E. Kubasik,"President, Chief Executive Officer & Director",Aerospace & Defense,Aerospace and Defense,New York City,http://www.l3t.com,16,http://fortune.com/fortune500/l3-technologies/
277,Ball,BLL,306,"$10,983",21.2%,$374.0,42.2%,"$17,169","$13,920","18,300",John A. Hayes,"Chairman, President & Chief Executive Officer",Materials,"Packaging, Containers","Broomfield, Colo.",http://www.ball.com,22,http://fortune.com/fortune500/ball/
278,AutoZone,AZO,270,"$10,889",2.4%,"$1,280.9",3.2%,"$9,260","$17,450","70,035",William C. Rhodes III,"Chairman, President & Chief Executive Officer",Retailing,Specialty Retailers: Other,Memphis,http://www.autozone.com,20,http://fortune.com/fortune500/autozone/
279,Murphy USA,MUSA,291,"$10,853",12.7%,$245.3,10.7%,"$2,331","$2,440","6,900",R. Andrew Clyde,"President, Chief Executive Officer & Director",Retailing,Specialty Retailers: Other,"El Dorado, Ark.",http://www.murphyusa.com,5,http://fortune.com/fortune500/murphy-usa/
