Fortune  Rank (2018),Company Name,Ticker Symbol,Fortune Rank (2017),Revenues,Revenues change,Profits,Profit Change,Assets,Market Value,Employee Count,CEO Name,CEO Title,Sector,Industry,HQ Location,Website URL,Years on Fortune List,Fortune URL
335,Hertz Global Holdings,HTZ,296,"$8,803",-7.1%,$327.0,,"$20,058","$1,662","37,000",Kathryn V. Marinello,"President, Chief Executive Officer & Director",Retailing,"Automotive Retailing, Services","Estero, Fla.",http://www.hertz.com,11,http://fortune.com/fortune500/hertz-global-holdings/
336,Calpine,,400,"$8,752",30.3%,$-339.0,-468.5%,"$16,453",,"2,290",John B. Hill III,"President, Chief Executive Officer & Director",Energy,Energy,Houston,http://www.calpine.com,17,http://fortune.com/fortune500/calpine/
337,Mutual of Omaha Insurance,,342,"$8,732",10.6%,$862.6,141.9%,"$42,429",,"5,896",James T. Blackledge,"Chairman, President & Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",Omaha,http://www.mutualofomaha.com,22,http://fortune.com/fortune500/mutual-of-omaha-insurance/
338,Crown Holdings,CCK,333,"$8,698",5.0%,$323.0,-34.9%,"$10,663","$6,816","24,342",Timothy J. Donahue,"President, Chief Executive Officer & Director",Materials,"Packaging, Containers",Philadelphia,http://www.crowncork.com,24,http://fortune.com/fortune500/crown-holdings/
339,Peter Kiewit Sons’,,324,"$8,678",1.2%,$371.0,-6.3%,"$5,710",,"22,000",Bruce E. Grewcock,"President, Chief Executive Officer & Director",Engineering & Construction,"Engineering, Construction",Omaha,http://www.kiewit.com,19,http://fortune.com/fortune500/peter-kiewit-sons/
340,Dick’s Sporting Goods,DKS,340,"$8,591",8.4%,$323.4,12.5%,"$4,204","$3,765","30,300",Edward W. Stack,Chairman & Chief Executive Officer,Retailing,Specialty Retailers: Other,"Coraopolis, Pa.",http://www.dicks.com,9,http://fortune.com/fortune500/dicks-sporting-goods/
341,PulteGroup,PHM,353,"$8,573",11.8%,$447.2,-25.8%,"$9,687","$8,439","4,810",Ryan R. Marshall,"President, Chief Executive Officer & Director",Engineering & Construction,Homebuilders,Atlanta,http://www.pultegroupinc.com,16,http://fortune.com/fortune500/pultegroup/
342,Navistar International,NAV,337,"$8,570",5.7%,$30.0,,"$6,135","$3,451","11,400",Troy A. Clarke,"Chairman, President & Chief Executive Officer",Industrials,Construction and Farm Machinery,"Lisle, Ill.",http://www.navistar.com,22,http://fortune.com/fortune500/navistar-international/
343,Thrivent Financial for Lutherans,,316,"$8,528",-2.8%,$558.4,-5.0%,"$95,001",,"3,622",Bradford L. Hewitt,Chief Executive Officer & Director,Financials,"Insurance: Life, Health (Mutual)",Minneapolis,http://www.thrivent.com,24,http://fortune.com/fortune500/thrivent-financial-for-lutherans/
344,DCP Midstream,DCP,,"$8,462",465.3%,$229.0,-26.6%,"$13,878","$5,033","2,650",Wouter T. van Kempen,"Chairman, President & Chief Executive Officer",Energy,Pipelines,Denver,http://www.dcpmidstream.com,1,http://fortune.com/fortune500/dcp-midstream/
345,Air Products & Chemicals,APD,294,"$8,442",-11.4%,"$3,000.4",375.4%,"$18,467","$34,818","15,150",Seifi Ghasemi,"Chairman, President & Chief Executive Officer",Chemicals,Chemicals,"Allentown, Pa.",http://www.airproducts.com,24,http://fortune.com/fortune500/air-products-chemicals/
346,Veritiv,VRTV,331,"$8,365",0.5%,$-13.3,-163.3%,"$2,708",$617,"8,900",Mary A. Laschinger,Chairman & Chief Executive Officer,Wholesalers,Wholesalers: Diversified,Atlanta,http://www.veritivcorp.com,3,http://fortune.com/fortune500/veritiv/
347,AGCO,AGCO,370,"$8,307",12.1%,$186.4,16.4%,"$7,972","$5,157","20,462",Martin H. Richenhagen,"Chairman, President & Chief Executive Officer",Industrials,Construction and Farm Machinery,"Duluth, Ga.",http://www.agcocorp.com,17,http://fortune.com/fortune500/agco/
348,Genworth Financial,GNW,329,"$8,295",-0.9%,$817.0,,"$105,297","$1,413","3,500",Thomas J. McInerney,"President, Chief Executive Officer & Director",Financials,"Insurance: Life, Health (stock)","Richmond, Va.",http://www.genworth.com,13,http://fortune.com/fortune500/genworth-financial/
349,Univar,UNVR,338,"$8,254",2.2%,$119.8,,"$5,733","$3,920","8,600",David C. Jukes,"President, Chief Executive Officer & Director",Wholesalers,Wholesalers: Diversified,"Downers Grove, Ill.",http://www.univar.com,3,http://fortune.com/fortune500/univar/
350,News Corp.,NWSA,332,"$8,139",-2.2%,$-738.0,-512.3%,"$14,552","$9,272","26,000",Robert J. Thomson,Chairman & Chief Executive Officer,Media,"Publishing, Printing",New York City,http://www.newscorp.com,4,http://fortune.com/fortune500/news-corp/
351,SpartanNash,SPTN,350,"$8,128",5.1%,$-52.8,-193.0%,"$2,056",$620,"11,950",David M. Staples,"President, Chief Executive Officer & Director",Wholesalers,Wholesalers: Food and Grocery,"Byron Center, Mich.",http://www.spartannash.com,8,http://fortune.com/fortune500/spartannash/
352,Westlake Chemical,WLK,507,"$8,041",58.4%,"$1,304.0",226.9%,"$12,076","$14,385","8,799",Albert Yuan Chao,"President, Chief Executive Officer & Director",Chemicals,Chemicals,Houston,http://www.westlake.com,1,http://fortune.com/fortune500/westlake-chemical/
353,Williams,WMB,367,"$8,031",7.1%,"$2,174.0",,"$46,352","$20,567","5,425",Alan S. Armstrong,"President, Chief Executive Officer & Director",Energy,Energy,"Tulsa, Okla.",http://www.williams.com,24,http://fortune.com/fortune500/williams/
354,Lam Research,LRCX,440,"$8,014",36.1%,"$1,697.8",85.7%,"$12,123","$33,105","9,400",Martin B. Anstice,Chairman & Chief Executive Officer,Technology,Semiconductors and Other Electronic Components,"Fremont, Calif.",http://www.lamresearch.com,3,http://fortune.com/fortune500/lam-research/
355,Alaska Air Group,ALK,438,"$7,933",33.8%,"$1,034.0",27.0%,"$10,740","$7,646","23,156",Bradley D. Tilden,"Chairman, President & Chief Executive Officer",Transportation,Airlines,Seattle,http://www.alaskaair.com,5,http://fortune.com/fortune500/alaska-air-group/
356,Jones Lang LaSalle,JLL,391,"$7,932",16.6%,$254.2,-20.1%,"$8,015","$7,930","81,900",Christian Ulbrich,"President, Chief Executive Officer & Director",Financials,Real estate,Chicago,http://www.jll.com,4,http://fortune.com/fortune500/jones-lang-lasalle/
357,Anixter International,AXE,359,"$7,927",4.0%,$109.0,-9.5%,"$4,252","$2,522","8,900",Robert J. Eck,Chairman & Chief Executive Officer,Wholesalers,Wholesalers: Electronics and Office Equipment,"Glenview, Ill.",http://www.anixter.com,16,http://fortune.com/fortune500/anixter-international/
358,Campbell Soup,CPB,339,"$7,890",-0.9%,$887.0,57.5%,"$7,726","$13,021","18,000",Denise M. Morrison,"President, Chief Executive Officer & Director","Food, Beverages & Tobacco",Food Consumer Products,"Camden, N.J.",http://www.campbellsoupcompany.com,24,http://fortune.com/fortune500/campbell-soup/
359,Interpublic Group,IPG,345,"$7,882",0.5%,$579.0,-4.8%,"$12,695","$8,854","50,200",Michael I. Roth,Chairman & Chief Executive Officer,Business Services,"Advertising, marketing",New York City,http://www.interpublic.com,21,http://fortune.com/fortune500/interpublic-group/
360,Dover,DOV,392,"$7,830",15.2%,$811.7,59.5%,"$10,658","$15,183","29,000",Richard J. Tobin,"President, Chief Executive Officer & Director",Industrials,Industrial Machinery,"Downers Grove, Ill.",http://www.dovercorporation.com,24,http://fortune.com/fortune500/dover/
361,Zimmer Biomet Holdings,ZBH,352,"$7,824",1.8%,"$1,813.8",492.9%,"$25,965","$22,151","18,200",Bryan C. Hanson,"President, Chief Executive Officer & Director",Health Care,Medical Products and Equipment,"Warsaw, Ind.",http://www.zimmerbiomet.com,3,http://fortune.com/fortune500/zimmer-biomet-holdings/
362,Dean Foods,DF,351,"$7,795",1.1%,$61.6,-48.6%,"$2,504",$787,"16,000",Ralph P. Scozzafava,Chairman & Chief Executive Officer,"Food, Beverages & Tobacco",Food Consumer Products,Dallas,http://www.deanfoods.com,20,http://fortune.com/fortune500/dean-foods/
363,Foot Locker,FL,348,"$7,782",0.2%,$284.0,-57.2%,"$3,961","$5,379","32,175",Richard A. Johnson,"Chairman, President & Chief Executive Officer",Retailing,Specialty Retailers: Apparel,New York City,http://www.footlocker-inc.com,24,http://fortune.com/fortune500/foot-locker/
364,Eversource Energy,ES,358,"$7,752",1.5%,$988.0,4.8%,"$36,220","$18,671","8,084",James J. Judge,"Chairman, President & Chief Executive Officer",Energy,Utilities: Gas and Electric,"Springfield, Mass.",http://www.eversource.com,23,http://fortune.com/fortune500/eversource-energy/
365,Alliance Data Systems,ADS,378,"$7,719",8.1%,$788.7,52.9%,"$30,685","$11,806","20,000",Edward J. Heffernan,"President, Chief Executive Officer & Director",Business Services,Financial Data Services,"Plano, Texas",http://www.alliancedata.com,4,http://fortune.com/fortune500/alliance-data-systems/
366,Fifth Third Bancorp,FITB,389,"$7,713",12.0%,"$2,194.0",40.3%,"$142,193","$21,812","18,125",Greg D. Carmichael,"Chairman, President & Chief Executive Officer",Financials,Commercial Banks,Cincinnati,http://www.53.com,19,http://fortune.com/fortune500/fifth-third-bancorp/
367,Quest Diagnostics,DGX,366,"$7,709",2.6%,$772.0,19.7%,"$10,503","$13,619","45,000",Stephen H. Rusckowski,"Chairman, President & Chief Executive Officer",Health Care,Health Care: Pharmacy and Other Services,"Secaucus, N.J.",http://www.questdiagnostics.com,18,http://fortune.com/fortune500/quest-diagnostics/
368,EMCOR Group,EME,360,"$7,688",1.8%,$227.2,24.9%,"$3,966","$4,549","32,000",Anthony J. Guzzi,"President, Chief Executive Officer & Director",Engineering & Construction,"Engineering, Construction","Norwalk, Conn.",http://www.emcorgroup.com,18,http://fortune.com/fortune500/emcor-group/
369,W.R. Berkley,WRB,354,"$7,685",0.4%,$549.1,-8.8%,"$24,300","$8,836","7,722",W. Robert Berkley Jr.,"President, Chief Executive Officer & Director",Financials,Insurance: Property and Casualty (Stock),"Greenwich, Conn.",http://www.wrberkley.com,15,http://fortune.com/fortune500/w-r-berkley/
370,WESCO International,WCC,373,"$7,679",4.7%,$163.5,60.9%,"$4,736","$2,920","9,100",John J. Engel,"Chairman, President & Chief Executive Officer",Wholesalers,Wholesalers: Diversified,Pittsburgh,http://www.wesco.com,20,http://fortune.com/fortune500/wesco-international/
371,Coty,COTY,558,"$7,650",75.9%,$-422.2,-369.1%,"$22,548","$13,723","22,000",Camillo Pane,Chairman & Chief Executive Officer,Household Products,Household and Personal Products,New York City,http://www.coty.com,1,http://fortune.com/fortune500/coty/
372,WEC Energy Group,WEC,368,"$7,649",2.4%,"$1,203.7",28.2%,"$31,591","$19,784","8,129",Gale E. Klappa,Chairman & Chief Executive Officer,Energy,Utilities: Gas and Electric,Milwaukee,http://www.wecenergygroup.com,9,http://fortune.com/fortune500/wec-energy-group/
373,Masco,MAS,372,"$7,644",3.9%,$533.0,8.6%,"$5,488","$12,590","26,000",Keith J. Allman,"President, Chief Executive Officer & Director",Household Products,"Home Equipment, Furnishings","Livonia, Mich.",http://www.masco.com,24,http://fortune.com/fortune500/masco/
374,DXC Technology,DXC,,"$7,607",7.1%,$-123.0,-149.0%,"$8,663","$28,720","60,000",J. Michael Lawrie,"Chairman, President & Chief Executive Officer",Technology,Information Technology Services,"Tysons, Va.",http://www.dxc.technology,1,http://fortune.com/fortune500/dxc-technology/
375,Auto-Owners Insurance,,398,"$7,604",12.2%,$645.7,-8.6%,"$23,694",,"5,227",Jeffrey S. Tagsold,Chief Executive Officer & Director,Financials,Insurance: Property and Casualty (Mutual),"Lansing, Mich.",http://www.auto-owners.com,16,http://fortune.com/fortune500/auto-owners-insurance/
376,Jones Financial (Edward Jones),,403,"$7,597",14.6%,$872.0,16.9%,"$17,176",,"45,000",James D. Weddle,"Chief Executive Officer & Managing Partner

",Financials,Securities,"Des Peres, Mo",www.iqvia.comwww.edwardjones.com,6,http://fortune.com/fortune500/jones-financial-edward-jones/
377,Liberty Media,LSXMA,491,"$7,594",43.9%,"$1,354.0",99.1%,"$41,996","$13,816","4,393",Gregory B. Maffei,"President, Chief Executive Officer & Director",Media,Entertainment,"Englewood, Colo.",http://www.libertymedia.com,2,http://fortune.com/fortune500/liberty-media/
378,Erie Insurance Group,,382,"$7,535",7.4%,$857.5,15.6%,"$20,670",,"5,260",Timothy G. NeCastro,Chief Executive Officer,Financials,Insurance: Property and Casualty (Mutual),"Erie, Pa.",http://www.erieinsurance.com,15,http://fortune.com/fortune500/erie-insurance-group/
379,Hershey,HSY,369,"$7,515",1.0%,$783.0,8.7%,"$5,554","$20,774","16,135",Michele G. Buck,"President, Chief Executive Officer & Director","Food, Beverages & Tobacco",Food Consumer Products,"Hershey, Pa.",http://www.thehersheycompany.com,24,http://fortune.com/fortune500/hershey/
380,PPL,PPL,365,"$7,447",-0.9%,"$1,128.0",-40.7%,"$41,479","$19,635","12,512",William H. Spence,"Chairman, President & Chief Executive Officer",Energy,Utilities: Gas and Electric,"Allentown, Pa.",http://www.pplweb.com,24,http://fortune.com/fortune500/ppl/
381,Huntington Ingalls Industries,HII,380,"$7,441",5.3%,$479.0,-16.4%,"$6,374","$11,539","38,000",C. Michael Petters,"President, Chief Executive Officer & Director",Aerospace & Defense,Aerospace and Defense,"Newport News, Va.",http://www.huntingtoningalls.com,6,http://fortune.com/fortune500/huntington-ingalls-industries/
382,Mosaic,MOS,377,"$7,409",3.4%,$-107.2,-136.0%,"$18,633","$9,358","8,500",James C. O'Rourke,"President, Chief Executive Officer & Director",Chemicals,Chemicals,"Plymouth, Minn.",http://www.mosaicco.com,13,http://fortune.com/fortune500/mosaic/
383,J.M. Smucker,SJM,346,"$7,392",-5.4%,$592.3,-14.0%,"$15,640","$14,087","7,140",Mark T. Smucker,"President, Chief Executive Officer & Director","Food, Beverages & Tobacco",Food Consumer Products,"Orrville, Ohio",http://www.jmsmucker.com,8,http://fortune.com/fortune500/j-m-smucker/
384,Delek US Holdings,DK,480,"$7,350",35.7%,$288.8,,"$5,935","$3,416","3,941",Ezra Uzi Yemin,"Chairman, President & Chief Executive Officer",Energy,Petroleum Refining,"Brentwood, Tenn.",http://www.delekus.com,4,http://fortune.com/fortune500/delek-us-holdings/
385,Newmont Mining,NEM,328,"$7,348",-12.3%,$-98.0,,"$20,563","$20,853","12,569",Gary J. Goldberg,"President, Chief Executive Officer & Director",Energy,"Mining, Crude-Oil Production","Greenwood Village, Colo.",http://www.newmont.com,15,http://fortune.com/fortune500/newmont-mining/
386,Constellation Brands,STZ,408,"$7,332",12.0%,"$1,535.1",45.5%,"$18,602","$44,379","8,700",Robert S. Sands,Chairman & Chief Executive Officer,"Food, Beverages & Tobacco",Beverages,"Victor, N.Y.",http://www.cbrands.com,6,http://fortune.com/fortune500/constellation-brands/
387,Ryder System,R,394,"$7,330",8.0%,$790.6,201.2%,"$11,452","$3,867","36,100",Robert E. Sanchez,"Chairman, President & Chief Executive Officer",Transportation,"Trucking, Truck Leasing",Miami,http://www.ryder.com,24,http://fortune.com/fortune500/ryder-system/
388,National Oilwell Varco,NOV,375,"$7,304",0.7%,$-237.0,,"$20,206","$13,993","31,605",Clay C. Williams,"Chairman, President & Chief Executive Officer",Energy,"Oil and Gas Equipment, Services",Houston,http://www.nov.com,13,http://fortune.com/fortune500/national-oilwell-varco/
389,Adobe Systems,ADBE,443,"$7,302",24.7%,"$1,694.0",44.9%,"$14,536","$106,413","17,973",Shantanu Narayen,"Chairman, President & Chief Executive Officer",Technology,Computer Software,"San Jose, Calif.",http://www.adobe.com,2,http://fortune.com/fortune500/adobe-systems/
390,LifePoint Health,LPNT,374,"$7,263",-0.1%,$102.4,-16.0%,"$6,286","$1,832","42,000",William F. Carpenter III,Chairman & Chief Executive Officer,Health Care,Health Care: Medical Facilities,"Brentwood, Tenn.",http://www.lifepointhealth.net,4,http://fortune.com/fortune500/lifepoint-health/
391,Tractor Supply,TSCO,396,"$7,256",7.0%,$422.6,-3.3%,"$2,869","$7,807","21,000",Gregory A. Sandfort,Chairman & Chief Executive Officer,Retailing,Specialty Retailers: Other,"Brentwood, Tenn.",http://www.tractorsupply.com,5,http://fortune.com/fortune500/tractor-supply/
392,Thor Industries,THO,540,"$7,247",58.2%,$374.3,45.9%,"$2,558","$6,069","17,800",Robert W. Martin,"President, Chief Executive Officer & Director",Motor Vehicles & Parts,Motor Vehicles and Parts,"Elkhart, Ind.",http://www.thorindustries.com,1,http://fortune.com/fortune500/thor-industries/
393,Dana,DAN,447,"$7,209",23.7%,$111.0,-82.7%,"$5,644","$3,741","30,100",James K. Kamsickas,"President, Chief Executive Officer & Director",Motor Vehicles & Parts,Motor Vehicles and Parts,"Maumee, Ohio",http://www.dana.com,24,http://fortune.com/fortune500/dana/
394,Weyerhaeuser,WY,341,"$7,196",-8.9%,$582.0,-43.3%,"$18,059","$26,463","9,300",Doyle R. Simons,"President, Chief Executive Officer & Director",Materials,Forest and Paper Products,Seattle,http://www.weyerhaeuser.com,24,http://fortune.com/fortune500/weyerhaeuser/
395,J.B. Hunt Transport Services,JBHT,407,"$7,190",9.7%,$686.3,58.8%,"$4,465","$12,858","24,681",John N. Roberts III,"President, Chief Executive Officer & Director",Transportation,"Trucking, Truck Leasing","Lowell, Ark.",http://www.jbhunt.com,6,http://fortune.com/fortune500/j-b-hunt-transport-services/
396,Darden Restaurants,DRI,385,"$7,170",3.4%,$479.1,27.8%,"$5,504","$10,531","178,729",Eugene I. Lee Jr.,"President, Chief Executive Officer & Director","Hotels, Restaurants & Leisure",Food Services,Orlando,http://www.darden.com,22,http://fortune.com/fortune500/darden-restaurants/
397,Yum China Holdings,YUMC,399,"$7,144",5.8%,$403.0,-19.7%,"$4,263","$16,009","450,000",Joey Wat,Chairman & Chief Executive Officer,"Hotels, Restaurants & Leisure",Food Services,"Plano, Texas",http://ir.yumchina.com,2,http://fortune.com/fortune500/yum-china-holdings/
398,Blackstone Group,BX,503,"$7,119",38.9%,"$1,470.8",41.5%,"$34,429","$21,058","2,360",Stephen A. Schwarzman,Chairman & Chief Executive Officer,Financials,Diversified Financials,New York City,http://www.blackstone.com,3,http://fortune.com/fortune500/blackstone-group/
399,Berry Global Group,BERY,413,"$7,095",9.3%,$340.0,44.1%,"$8,476","$7,191","23,000",Thomas E. Salmon,Chairman & Chief Executive Officer,Materials,"Packaging, Containers","Evansville, Ind.",http://www.berryglobal.com,2,http://fortune.com/fortune500/berry-global-group/
400,Builders FirstSource,BLDR,421,"$7,034",10.5%,$38.8,-73.1%,"$3,006","$2,264","15,000",M. Chad Crow,"President, Chief Executive Officer & Director",Materials,"Building Materials, Glass",Dallas,http://www.bldr.com,2,http://fortune.com/fortune500/builders-firstsource/
401,Activision Blizzard,ATVI,406,"$7,017",6.2%,$273.0,-71.7%,"$18,668","$51,177","9,800",Robert A. Kotick,Chairman & Chief Executive Officer,Technology,Entertainment,"Santa Monica, Calif.",http://www.activisionblizzard.com,2,http://fortune.com/fortune500/activision-blizzard/
402,JetBlue Airways,JBLU,403,"$7,015",5.8%,"$1,147.0",51.1%,"$9,781","$6,540","17,424",Robin Hayes,"President, Chief Executive Officer & Director",Transportation,Airlines,"Long Island City, N.Y.",http://www.jetblue.com,6,http://fortune.com/fortune500/jetblue-airways/
403,Amphenol,APH,424,"$7,011",11.5%,$650.5,-21.0%,"$10,004","$26,311","70,000",R. Adam Norwitt,"President, Chief Executive Officer & Director",Technology,Network and Other Communications Equipment,"Wallingford, Conn.",http://www.amphenol.com,4,http://fortune.com/fortune500/amphenol/
404,A-Mark Precious Metals,AMRK,395,"$6,990",3.0%,$7.1,-23.6%,$479,$86,126,Gregory N. Roberts,Chairman & Chief Executive Officer,Materials,Miscellaneous,"El Segundo, Calif.",http://www.amark.com,4,http://fortune.com/fortune500/a-mark-precious-metals/
405,Spirit AeroSystems Holdings,SPR,393,"$6,983",2.8%,$354.9,-24.4%,"$5,268","$9,595","15,500",Thomas C. Gentile III,"President, Chief Executive Officer & Director",Aerospace & Defense,Aerospace and Defense,"Wichita, Kans.",http://www.spiritaero.com,4,http://fortune.com/fortune500/spirit-aerosystems-holdings/
406,R.R. Donnelley & Sons,RRD,388,"$6,940",0.6%,$-34.4,,"$3,905",$612,"42,700",Daniel L. Knotts,"President, Chief Executive Officer & Director",Media,"Publishing, Printing",Chicago,http://www.rrdonnelley.com,24,http://fortune.com/fortune500/r-r-donnelley-sons/
407,Harris,HRS,363,"$6,939",-7.8%,$553.0,70.7%,"$10,090","$19,149","17,000",William M. Brown,"Chairman, President & Chief Executive Officer",Aerospace & Defense,Aerospace and Defense,"Melbourne, Fla.",http://www.harris.com,14,http://fortune.com/fortune500/harris/
408,Expeditors Intl. of Washington,EXPD,429,"$6,921",13.5%,$489.3,13.6%,"$3,117","$11,087","16,500",Jeffrey S. Musser,"President, Chief Executive Officer & Director",Transportation,Transportation and Logistics,Seattle,http://www.expeditors.com,11,http://fortune.com/fortune500/expeditors-intl-of-washington/
409,Discovery,DISCA,412,"$6,873",5.8%,$-337.0,-128.2%,"$22,555","$11,156","7,000",David M. Zaslav,"President, Chief Executive Officer & Director",Media,Entertainment,"Silver Spring, Md.",http://www.discovery.com,5,http://fortune.com/fortune500/discovery/
410,Owens-Illinois,OI,401,"$6,869",2.5%,$180.0,-13.9%,"$9,756","$3,538","26,500",Andres A. Lopez,"President, Chief Executive Officer & Director",Materials,"Packaging, Containers","Perrysburg, Ohio",http://www.o-i.com,24,http://fortune.com/fortune500/owens-illinois/
411,Sanmina,SANM,414,"$6,869",6.0%,$138.8,-26.1%,"$3,847","$1,863","41,250",Robert K. Eulau,Chairman & Chief Executive Officer,Technology,Semiconductors and Other Electronic Components,"San Jose, Calif.",http://www.sanmina.com,18,http://fortune.com/fortune500/sanmina/
412,KeyCorp,KEY,479,"$6,868",26.7%,"$1,296.0",63.8%,"$137,698","$20,570","18,415",Beth E. Mooney,"Chairman, President & Chief Executive Officer",Financials,Commercial Banks,Cleveland,http://www.key.com,20,http://fortune.com/fortune500/keycorp/
413,American Financial Group,AFG,411,"$6,865",5.6%,$475.0,-26.8%,"$60,658","$9,923","7,600",Carl H. Lindner lll/S. Craig Lindner,"President, Co-Chief Executive Officer & Director",Financials,Insurance: Property and Casualty (Stock),Cincinnati,http://www.afginc.com,19,http://fortune.com/fortune500/american-financial-group/
414,Oshkosh,OSK,425,"$6,830",8.8%,$285.6,32.0%,"$5,099","$5,768","14,000",Wilson R. Jones,"President, Chief Executive Officer & Director",Industrials,Construction and Farm Machinery,"Oshkosh, Wis.",http://www.oshkoshcorporation.com,11,http://fortune.com/fortune500/oshkosh/
415,Rockwell Collins,COL,492,"$6,822",29.7%,$705.0,-3.2%,"$17,997","$22,108","29,000",Robert K. Ortberg,"Chairman, President & Chief Executive Officer",Aerospace & Defense,Aerospace and Defense,"Cedar Rapids, Iowa",http://www.rockwellcollins.com,7,http://fortune.com/fortune500/rockwell-collins/
416,Kindred Healthcare,KND,376,"$6,768",-6.4%,$-698.4,,"$5,233",$836,"64,200",Benjamin A. Breier,"President, Chief Executive Officer & Director",Health Care,Health Care: Medical Facilities,"Louisville, Ky.",http://www.kindredhealthcare.com,15,http://fortune.com/fortune500/kindred-healthcare/
417,Insight Enterprises,NSIT,473,"$6,704",22.2%,$90.7,7.1%,"$2,686","$1,252","6,697",Kenneth T. Lamneck,"President, Chief Executive Officer & Director",Technology,Information Technology Services,"Tempe, Ariz.",http://www.insight.com,10,http://fortune.com/fortune500/insight-enterprises/
418,Dr Pepper Snapple Group,DPS,416,"$6,690",3.9%,"$1,076.0",27.0%,"$10,022","$21,278","21,000",Larry D. Young,"President, Chief Executive Officer & Director","Food, Beverages & Tobacco",Beverages,"Plano, Texas",http://www.drpeppersnapplegroup.com,10,http://fortune.com/fortune500/dr-pepper-snapple-group/
419,American Tower,AMT,449,"$6,664",15.2%,"$1,238.9",29.5%,"$33,214","$64,073","4,752",James D. Taiclet Jr.,"Chairman, President & Chief Executive Officer",Financials,Real estate,Boston,http://www.americantower.com,2,http://fortune.com/fortune500/american-tower/
420,Fortive,FTV,,"$6,656",,"$1,044.5",,"$10,501","$26,979","26,000",James A. Lico,"President, Chief Executive Officer & Director",Industrials,Industrial Machinery,"Everett, Wash.",http://www.fortive.com,1,http://fortune.com/fortune500/fortive/
421,Ralph Lauren,RL,371,"$6,653",-10.2%,$-99.3,-125.1%,"$5,652","$9,088","18,250",Patrice Louvet,"President, Chief Executive Officer & Director",Apparel,Apparel,New York City,http://www.ralphlauren.com,10,http://fortune.com/fortune500/ralph-lauren/
422,HRG Group,HRG,418,"$6,650",3.9%,$106.0,,"$35,850","$3,328","17,113",Joseph S. Steinberg,Chairman & Chief Executive Officer,Household Products,Household and Personal Products,New York City,http://www.hrggroup.com,5,http://fortune.com/fortune500/hrg-group/
423,Ascena Retail Group,ASNA,384,"$6,650",-4.9%,"$-1,067.3",,"$3,872",$394,"40,000",David R. Jaffe,Chairman & Chief Executive Officer,Retailing,Specialty Retailers: Apparel,"Mahwah, N.J.",http://www.ascenaretail.com,2,http://fortune.com/fortune500/ascena-retail-group/
424,United Rentals,URI,452,"$6,641",15.3%,"$1,346.0",137.8%,"$15,030","$14,537","14,800",Michael J. Kneeland,Chairman & Chief Executive Officer,Business Services,Miscellaneous,"Stamford, Conn.",http://www.unitedrentals.com,5,http://fortune.com/fortune500/united-rentals/
425,Casey’s General Stores,CASY,423,"$6,641",5.3%,$177.5,-21.5%,"$3,020","$4,120","25,463",Terry W. Handley,"President, Chief Executive Officer & Director",Retailing,Specialty Retailers: Other,"Ankeny, Iowa",http://www.caseys.com,8,http://fortune.com/fortune500/caseys-general-stores/
426,Graybar Electric,,420,"$6,631",3.9%,$71.6,-23.1%,"$2,261",,"8,500",Kathleen M. Mazzarella,"Chairman, President & Chief Executive Officer",Wholesalers,Wholesalers: Diversified,St. Louis,http://www.graybar.com,24,http://fortune.com/fortune500/graybar-electric/
427,Avery Dennison,AVY,430,"$6,614",8.7%,$281.8,-12.1%,"$5,137","$9,361","30,000",Mitchell R. Butier,"President, Chief Executive Officer & Director",Materials,"Packaging, Containers","Glendale, Calif.",http://www.averydennison.com,24,http://fortune.com/fortune500/avery-dennison/
428,MasTec,MTZ,502,"$6,607",28.7%,$347.2,164.5%,"$4,067","$3,874","17,300",Jose R. Mas,Chief Executive Officer,Engineering & Construction,"Engineering, Construction","Coral Gables, Fla.",http://www.mastec.com,1,http://fortune.com/fortune500/mastec/
429,CMS Energy,CMS,419,"$6,583",2.9%,$460.0,-16.5%,"$23,050","$12,793","7,887",Patricia K. Poppe,"President, Chief Executive Officer & Director",Energy,Utilities: Gas and Electric,"Jackson, Mich.",http://www.cmsenergy.com,24,http://fortune.com/fortune500/cms-energy/
430,HD Supply Holdings,HDS,364,"$6,534",-13.2%,$970.0,394.9%,"$4,318","$7,040","11,000",Joseph J. DeAngelo,"Chairman, President & Chief Executive Officer",Wholesalers,Wholesalers: Diversified,Atlanta,http://www.hdsupply.com,6,http://fortune.com/fortune500/hd-supply-holdings/
431,Raymond James Financial,RJF,469,"$6,525",18.2%,$636.2,20.2%,"$34,884","$13,019","12,700",Paul C. Reilly,Chairman & Chief Executive Officer,Financials,Securities,"St. Petersburg, Fla.",http://www.raymondjames.com,3,http://fortune.com/fortune500/raymond-james-financial/
432,NCR,NCR,409,"$6,516",-0.4%,$232.0,-14.1%,"$7,654","$3,737","34,000",Michael D. Hayford,Chief Executive Officer & Director,Technology,"Computers, Office Equipment",Atlanta,http://www.ncr.com,21,http://fortune.com/fortune500/ncr/
433,Hanesbrands,HBI,432,"$6,478",6.9%,$61.9,-88.5%,"$6,895","$6,638","67,200",Gerald W. Evans Jr.,Chairman & Chief Executive Officer,Apparel,Apparel,"Winston-Salem, N.C.",http://www.hanes.com,4,http://fortune.com/fortune500/hanesbrands/
